Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0101-23132,1,1,23,132,David,29334,127286,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127286&ou=29334,,,,
0101-23133,1,1,23,133,David,29335,126740,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126740&ou=29335,,,,
0102-01001,1,2,1,1,David,29337,127904,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127904&ou=29337,,,,
0102-01002,1,2,1,2,David,29338,124743,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124743&ou=29338,,,,
0102-01003,1,2,1,3,David,29339,125690,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125690&ou=29339,,,,
0102-01005,1,2,1,5,David,29340,127220,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127220&ou=29340,,,,
0102-01007,1,2,1,7,David,29341,124269,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124269&ou=29341,,,,
0102-01008,1,2,1,8,David,29342,124988,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124988&ou=29342,,,,
0102-02009,1,2,2,9,David,29343,125229,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125229&ou=29343,,,,
0102-02011,1,2,2,11,David,29345,127036,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127036&ou=29345,,,,
0102-02012,1,2,2,12,David,29346,125637,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=125637&ou=29346,,,,
0102-02013,1,2,2,13,David,29347,117311,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117311&ou=29347,,,,
0102-02019,1,2,2,19,David,29348,126302,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126302&ou=29348,,,,
0102-03004,1,2,3,4,David,29349,123668,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123668&ou=29349,,,,
0102-03006,1,2,3,6,David,29350,118960,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118960&ou=29350,,,,
0102-03014,1,2,3,14,David,29351,126650,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=126650&ou=29351,,,,
0102-03015,1,2,3,15,David,29352,119793,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119793&ou=29352,,,,
0102-03017,1,2,3,17,David,29353,124298,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124298&ou=29353,,,,
0102-03018,1,2,3,18,David,29354,123950,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=123950&ou=29354,,,,
0102-04039,1,2,4,39,David,29357,119026,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119026&ou=29357,,,,
0102-04040,1,2,4,40,David,29358,118750,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118750&ou=29358,,,,
